SA2_2018_Code,SA2_2018_Name,JSS_PC,SPS_PC,MTB_PC,No_Quals_PC,No_Own_PC,Damp_Mould_PC,No_Int_PC,Inc_Leq_50k_PC,Crowded_PC
100100,North Cape,0.13,0.04,0.04,0.42,0.44,0.29,0.41,0.5,0.08
100200,Rangaunu Harbour,0.08,0.05,0.05,0.38,0.44,0.3,0.35,0.46,0.09
100300,Inlets Far North District,0,0.06,0.13,0.4,0.2,0.43,0.4,0.7,0.04
100400,Karikari Peninsula,0.09,0.04,0.04,0.34,0.31,0.2,0.33,0.53,0.17
100500,Tangonge,0.08,0.04,0.04,0.33,0.41,0.28,0.4,0.37,0
100600,Ahipara,0.12,0.06,0.04,0.31,0.46,0.24,0.42,0.45,0.18
100700,Kaitaia East,0.11,0.08,0.06,0.38,0.56,0.34,0.52,0.61,0.07
100800,Kaitaia West,0.11,0.08,0.06,0.42,0.58,0.35,0.51,0.62,0.09
100900,Rangitihi,0.07,0.03,0.05,0.33,0.34,0.26,0.32,0.39,0.02
101000,Oruru-Parapara,0.14,0.07,0.05,0.34,0.36,0.28,0.34,0.49,0.11
101100,Taumarumaru,0.06,0.05,0.03,0.29,0.38,0.17,0.3,0.56,0.12
101200,Herekino-Takahue,0.15,0.04,0.05,0.39,0.39,0.32,0.47,0.52,0.18
101300,Peria,0.15,0.07,0.07,0.33,0.35,0.35,0.4,0.6,0.11
101400,Taemaro-Oruaiti,0.13,0.06,0.04,0.36,0.37,0.23,0.35,0.55,0.18
101500,Whakapaku,0.06,0.05,0.04,0.35,0.36,0.27,0.38,0.53,0.03
101600,Hokianga North,0.24,0.07,0.06,0.42,0.46,0.46,0.61,0.66,0.28
101700,Kohukohu-Broadwood,0.2,0.04,0.09,0.36,0.44,0.34,0.46,0.61,0.19
101800,Whakarara,0.1,0.03,0.03,0.33,0.39,0.33,0.35,0.52,0.15
101900,Kaeo,0.09,0.05,0.05,0.32,0.44,0.34,0.4,0.56,0.06
102000,Omahuta Forest-Horeke,0.19,0.07,0.08,0.4,0.49,0.33,0.57,0.57,0.26
102100,Hokianga South,0.14,0.07,0.09,0.33,0.45,0.34,0.48,0.58,0.18
102200,Lake Manuwai-Kapiro,0.03,0.02,0.01,0.21,0.34,0.19,0.17,0.33,0.08
102300,Okaihau,0.07,0.06,0.02,0.27,0.38,0.39,0.32,0.35,0.09
102400,Rangitane-Purerua,0.04,0.03,0.02,0.26,0.38,0.23,0.19,0.34,0.01
102500,Waipapa,0.03,0.04,0,0.21,0.38,0.21,0.21,0.32,0.12
102600,Puketotara,0.03,0.02,0.01,0.19,0.32,0.21,0.15,0.28,0.12
102700,Waima Forest,0.19,0.11,0.06,0.44,0.53,0.45,0.51,0.55,0.21
102800,Riverview,0.02,0.02,0.01,0.17,0.31,0.18,0.16,0.38,0.08
102900,Waipoua Forest,0.17,0.08,0.05,0.31,0.45,0.3,0.46,0.67,0.15
103000,Kerikeri Central,0.05,0.05,0.02,0.26,0.53,0.17,0.36,0.59,0.07
103100,Kerikeri South,0.03,0.01,0.01,0.18,0.34,0.13,0.13,0.37,0
103200,Ohaeawai-Waimate North,0.06,0.04,0.01,0.28,0.37,0.3,0.29,0.39,0.14
103300,Puketona-Waitangi,0.03,0.02,0.02,0.25,0.39,0.17,0.24,0.34,0
103400,Ngapuhi,0.13,0.05,0.06,0.38,0.52,0.43,0.44,0.51,0.1
103500,Kaikohe,0.15,0.09,0.06,0.37,0.63,0.44,0.55,0.6,0.07
103600,Pakaraka,0.02,0.03,0.01,0.25,0.37,0.26,0.23,0.33,0.02
103700,Haruru,0.04,0.04,0.02,0.28,0.46,0.2,0.27,0.44,0.12
103800,Russell,0.03,0.02,0.01,0.18,0.35,0.27,0.22,0.48,0
103900,Paihia,0.05,0.04,0.02,0.28,0.53,0.26,0.32,0.46,0.02
104000,Mataraua Forest,0.12,0.09,0.05,0.37,0.53,0.44,0.5,0.44,0.04
104100,Matawaia-Taumarere,0.13,0.05,0.03,0.38,0.48,0.39,0.47,0.48,0.11
104200,Russell Peninsula,0.06,0.02,0.02,0.2,0.33,0.14,0.25,0.45,0.06
104300,Opua (Far North District),0.04,0.02,0.01,0.18,0.36,0.21,0.23,0.45,0
104400,Russell Forest-Rawhiti,0.14,0.06,0.05,0.42,0.49,0.39,0.44,0.49,0.14
104500,Moerewa,0.18,0.1,0.05,0.45,0.54,0.56,0.59,0.54,0.27
104600,Kawakawa,0.14,0.08,0.04,0.36,0.57,0.42,0.52,0.5,0.11
104700,Maromaku,0.05,0.04,0.03,0.35,0.45,0.37,0.33,0.38,0
104800,Mangakahia-Hukerenui,0.08,0.03,0.03,0.37,0.48,0.33,0.31,0.36,0.17
104900,Whangaruru,0.09,0.04,0.03,0.32,0.39,0.28,0.37,0.43,0.14
105100,Matarau,0.03,0.02,0.01,0.2,0.29,0.18,0.11,0.22,0.1
105200,Hikurangi,0.1,0.08,0.06,0.4,0.42,0.39,0.4,0.45,0.13
105300,Kauri,0.03,0.01,0.01,0.24,0.29,0.17,0.12,0.25,0.02
105400,Maungatapere,0.03,0.02,0.01,0.21,0.31,0.19,0.19,0.24,0.06
105500,Kamo West,0.05,0.03,0.03,0.26,0.39,0.24,0.28,0.38,0
